model,prior_method,paper_id,retain_pct,retain_pct_display,num_units,gr_coverage,avg_dec_coverage,oracle_retention,selected_count
google/embeddinggemma-300m,kmeans,1023_slides.pdf,1.0,100%,153,0.6974576797311844,0.6038130642219522,1.0,8
google/embeddinggemma-300m,kmeans,1023_slides.pdf,0.03,3%,4,0.33430929323042047,0.45366638085046773,0.125,4
google/embeddinggemma-300m,kmeans,1023_slides.pdf,0.05,5%,7,0.4026155571767714,0.49656721547602656,0.125,6
google/embeddinggemma-300m,kmeans,1023_slides.pdf,0.1,10%,15,0.4006448739214228,0.5283230684004215,0.25,6
google/embeddinggemma-300m,kmeans,1023_slides.pdf,0.2,20%,30,0.5528832929547609,0.64616988003601,0.5,7
google/embeddinggemma-300m,kmeans,1023_slides.pdf,0.5,50%,76,0.7132316858717376,0.5923732199024113,0.875,6
google/embeddinggemma-300m,kmeans,1017_slides.pdf,1.0,100%,192,0.7015549387764048,0.5890632527779393,1.0,7
google/embeddinggemma-300m,kmeans,1017_slides.pdf,0.03,3%,5,0.5871858404089085,0.5271560744191871,0.14285714285714285,4
google/embeddinggemma-300m,kmeans,1017_slides.pdf,0.05,5%,9,0.7045690533173241,0.5832734204027901,0.14285714285714285,5
google/embeddinggemma-300m,kmeans,1017_slides.pdf,0.1,10%,19,0.7279905191421562,0.6436609780465031,0.14285714285714285,6
google/embeddinggemma-300m,kmeans,1017_slides.pdf,0.2,20%,38,0.7205486211347871,0.6018833937875766,0.42857142857142855,6
google/embeddinggemma-300m,kmeans,1017_slides.pdf,0.5,50%,96,0.7015549387764048,0.5890632527779393,1.0,7
google/embeddinggemma-300m,kmeans,1032_slides.pdf,1.0,100%,331,0.616044478351348,0.6929469620900829,1.0,6
google/embeddinggemma-300m,kmeans,1032_slides.pdf,0.03,3%,9,0.4707696169938291,0.5255162000171966,0.16666666666666666,6
google/embeddinggemma-300m,kmeans,1032_slides.pdf,0.05,5%,16,0.47076970972197074,0.5255162487976995,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1032_slides.pdf,0.1,10%,33,0.47076970972197074,0.5255162668230446,0.16666666666666666,6
google/embeddinggemma-300m,kmeans,1032_slides.pdf,0.2,20%,66,0.5071103011754404,0.5505184849839687,0.3333333333333333,5
google/embeddinggemma-300m,kmeans,1032_slides.pdf,0.5,50%,165,0.5920132386113306,0.6571435468053269,0.6666666666666666,7
google/embeddinggemma-300m,kmeans,1037_slides.pdf,1.0,100%,188,0.6836616261863923,0.6321456961223616,1.0,6
google/embeddinggemma-300m,kmeans,1037_slides.pdf,0.03,3%,5,0.42114632908157507,0.4964381325897385,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1037_slides.pdf,0.05,5%,9,0.42114632908157507,0.4964381325897385,0.16666666666666666,7
google/embeddinggemma-300m,kmeans,1037_slides.pdf,0.1,10%,18,0.45121338952652723,0.5564251440059262,0.16666666666666666,6
google/embeddinggemma-300m,kmeans,1037_slides.pdf,0.2,20%,37,0.6002816912213719,0.5856766281793152,0.16666666666666666,6
google/embeddinggemma-300m,kmeans,1037_slides.pdf,0.5,50%,94,0.6705647702731875,0.6334828756779318,0.3333333333333333,5
google/embeddinggemma-300m,kmeans,1004_slides.pdf,1.0,100%,218,0.554446672449318,0.5829991164263031,1.0,5
google/embeddinggemma-300m,kmeans,1004_slides.pdf,0.03,3%,6,0.5153163471624118,0.5742866872072,0.2,4
google/embeddinggemma-300m,kmeans,1004_slides.pdf,0.05,5%,10,0.5285911065854682,0.595926299129406,0.4,5
google/embeddinggemma-300m,kmeans,1004_slides.pdf,0.1,10%,21,0.5526926118466055,0.6163653599501178,0.6,7
google/embeddinggemma-300m,kmeans,1004_slides.pdf,0.2,20%,43,0.5638531909071095,0.5896628396809506,0.8,6
google/embeddinggemma-300m,kmeans,1004_slides.pdf,0.5,50%,109,0.5618968458244097,0.561847638050778,0.8,7
google/embeddinggemma-300m,kmeans,1010_slides.pdf,1.0,100%,241,0.47672695124606607,0.5316962300574439,1.0,5
google/embeddinggemma-300m,kmeans,1010_slides.pdf,0.03,3%,7,0.44958679036093696,0.46362763950048436,0.2,3
google/embeddinggemma-300m,kmeans,1010_slides.pdf,0.05,5%,12,0.49498803639044014,0.5681146044667249,0.2,4
google/embeddinggemma-300m,kmeans,1010_slides.pdf,0.1,10%,24,0.5991567197496724,0.6432730494239045,0.4,6
google/embeddinggemma-300m,kmeans,1010_slides.pdf,0.2,20%,48,0.6321328434914087,0.6398099973432094,0.6,6
google/embeddinggemma-300m,kmeans,1010_slides.pdf,0.5,50%,120,0.6358448176101211,0.6893899480724991,0.6,6
google/embeddinggemma-300m,kmeans,1014_slides.pdf,1.0,100%,215,0.5836558733863778,0.5928893320902764,1.0,7
google/embeddinggemma-300m,kmeans,1014_slides.pdf,0.03,3%,6,0.38783061795862456,0.4136056196764533,0.14285714285714285,6
google/embeddinggemma-300m,kmeans,1014_slides.pdf,0.05,5%,10,0.38783061795862456,0.4136056196764533,0.14285714285714285,7
google/embeddinggemma-300m,kmeans,1014_slides.pdf,0.1,10%,21,0.5027170456022545,0.49824374900501667,0.2857142857142857,6
google/embeddinggemma-300m,kmeans,1014_slides.pdf,0.2,20%,43,0.5026378222058744,0.5924997780218287,0.5714285714285714,6
google/embeddinggemma-300m,kmeans,1014_slides.pdf,0.5,50%,107,0.6150188315453621,0.5966896408951793,0.5714285714285714,6
google/embeddinggemma-300m,kmeans,1051_slides.pdf,1.0,100%,92,0.6404817655396063,0.7582627924640887,1.0,7
google/embeddinggemma-300m,kmeans,1051_slides.pdf,0.03,3%,2,0.4670536100844537,0.4892681138780386,0.14285714285714285,2
google/embeddinggemma-300m,kmeans,1051_slides.pdf,0.05,5%,4,0.5142221245460461,0.5689442080842347,0.14285714285714285,4
google/embeddinggemma-300m,kmeans,1051_slides.pdf,0.1,10%,9,0.6262370230110955,0.7095466328565996,0.2857142857142857,6
google/embeddinggemma-300m,kmeans,1051_slides.pdf,0.2,20%,18,0.7811224538198914,0.7660511581015431,0.42857142857142855,5
google/embeddinggemma-300m,kmeans,1051_slides.pdf,0.5,50%,46,0.6202492891199525,0.7068428745755032,0.7142857142857143,6
google/embeddinggemma-300m,kmeans,1072_slides.pdf,1.0,100%,269,0.5413113225627154,0.6217724919114017,1.0,5
google/embeddinggemma-300m,kmeans,1072_slides.pdf,0.03,3%,8,0.3849541050531053,0.5025579571123463,0.2,4
google/embeddinggemma-300m,kmeans,1072_slides.pdf,0.05,5%,13,0.36097967056538083,0.5402863486150798,0.4,6
google/embeddinggemma-300m,kmeans,1072_slides.pdf,0.1,10%,26,0.3887727198652757,0.5059131059314464,0.4,6
google/embeddinggemma-300m,kmeans,1072_slides.pdf,0.2,20%,53,0.4263185068960179,0.4941459993412214,0.4,5
google/embeddinggemma-300m,kmeans,1072_slides.pdf,0.5,50%,134,0.5186309679565658,0.6090407589266917,0.6,5
google/embeddinggemma-300m,kmeans,1012_slides.pdf,1.0,100%,271,0.5845199840126415,0.5886211361426975,1.0,5
google/embeddinggemma-300m,kmeans,1012_slides.pdf,0.03,3%,8,0.5130979997617483,0.50480887267267,0.2,5
google/embeddinggemma-300m,kmeans,1012_slides.pdf,0.05,5%,13,0.519252557587705,0.4818779658647946,0.2,4
google/embeddinggemma-300m,kmeans,1012_slides.pdf,0.1,10%,27,0.5227175986007722,0.5281538989094718,0.4,4
google/embeddinggemma-300m,kmeans,1012_slides.pdf,0.2,20%,54,0.5477619244306606,0.5754296001112436,0.6,4
google/embeddinggemma-300m,kmeans,1012_slides.pdf,0.5,50%,135,0.5803115506191514,0.6048353159409291,0.8,5
google/embeddinggemma-300m,kmeans,1085_slides.pdf,1.0,100%,95,0.6850543784999927,0.6069925390395884,1.0,7
google/embeddinggemma-300m,kmeans,1085_slides.pdf,0.03,3%,2,0.4079837629616317,0.39823088748456886,0.14285714285714285,2
google/embeddinggemma-300m,kmeans,1085_slides.pdf,0.05,5%,4,0.4576105316830883,0.4739089640282244,0.14285714285714285,4
google/embeddinggemma-300m,kmeans,1085_slides.pdf,0.1,10%,9,0.5997368834729417,0.5630419944805033,0.2857142857142857,6
google/embeddinggemma-300m,kmeans,1085_slides.pdf,0.2,20%,19,0.6675724686052191,0.5867140812079286,0.42857142857142855,7
google/embeddinggemma-300m,kmeans,1085_slides.pdf,0.5,50%,47,0.7362661625062816,0.691675450408376,0.7142857142857143,7
google/embeddinggemma-300m,kmeans,1060_slides.pdf,1.0,100%,287,0.6674269447786059,0.5185895585523116,1.0,6
google/embeddinggemma-300m,kmeans,1060_slides.pdf,0.03,3%,8,0.5508478615926184,0.5704270436500388,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1060_slides.pdf,0.05,5%,14,0.5555448640785771,0.550419218695875,0.16666666666666666,4
google/embeddinggemma-300m,kmeans,1060_slides.pdf,0.1,10%,28,0.5525079986404499,0.5639197440562603,0.16666666666666666,5
google/embeddinggemma-300m,kmeans,1060_slides.pdf,0.2,20%,57,0.5808340949425975,0.6199089356450228,0.3333333333333333,5
google/embeddinggemma-300m,kmeans,1060_slides.pdf,0.5,50%,143,0.6401316674406367,0.5140360211325353,0.6666666666666666,6
google/embeddinggemma-300m,kmeans,1086_slides.pdf,1.0,100%,82,0.5462894592404904,0.581489348200952,1.0,4
